258: Acc-tr:  99.98, Acc-val:  56.45, L-tr: 0.0040, L-val: 2.1787
259: Acc-tr:  99.98, Acc-val:  56.47, L-tr: 0.0042, L-val: 2.1714
260: Acc-tr:  99.98, Acc-val:  56.33, L-tr: 0.0041, L-val: 2.1824
261: Acc-tr:  99.98, Acc-val:  56.39, L-tr: 0.0041, L-val: 2.1725
262: Acc-tr:  99.98, Acc-val:  56.57, L-tr: 0.0041, L-val: 2.1766
263: Acc-tr:  99.98, Acc-val:  56.74, L-tr: 0.0041, L-val: 2.1772
264: Acc-tr:  99.98, Acc-val:  56.61, L-tr: 0.0041, L-val: 2.1754
265: Acc-tr:  99.98, Acc-val:  56.37, L-tr: 0.0041, L-val: 2.1778
266: Acc-tr:  99.98, Acc-val:  56.58, L-tr: 0.0041, L-val: 2.1725
267: Acc-tr:  99.98, Acc-val:  56.58, L-tr: 0.0040, L-val: 2.1766
268: Acc-tr:  99.98, Acc-val:  56.50, L-tr: 0.0041, L-val: 2.1754
269: Acc-tr:  99.98, Acc-val:  56.40, L-tr: 0.0041, L-val: 2.1773
270: Acc-tr:  99.98, Acc-val:  56.55, L-tr: 0.0041, L-val: 2.1754
271: Acc-tr:  99.98, Acc-val:  56.45, L-tr: 0.0041, L-val: 2.1825
272: Acc-tr:  99.98, Acc-val:  56.61, L-tr: 0.0041, L-val: 2.1708
273: Acc-tr:  99.98, Acc-val:  56.60, L-tr: 0.0041, L-val: 2.1790
274: Acc-tr:  99.98, Acc-val:  56.43, L-tr: 0.0041, L-val: 2.1745
275: Acc-tr:  99.98, Acc-val:  56.70, L-tr: 0.0041, L-val: 2.1705
276: Acc-tr:  99.98, Acc-val:  56.49, L-tr: 0.0040, L-val: 2.1771
277: Acc-tr:  99.98, Acc-val:  56.46, L-tr: 0.0041, L-val: 2.1755
278: Acc-tr:  99.98, Acc-val:  56.58, L-tr: 0.0040, L-val: 2.1700
279: Acc-tr:  99.98, Acc-val:  56.56, L-tr: 0.0041, L-val: 2.1725
280: Acc-tr:  99.98, Acc-val:  56.28, L-tr: 0.0042, L-val: 2.1706
281: Acc-tr:  99.98, Acc-val:  56.50, L-tr: 0.0041, L-val: 2.1727
282: Acc-tr:  99.98, Acc-val:  56.52, L-tr: 0.0041, L-val: 2.1710
283: Acc-tr:  99.98, Acc-val:  56.45, L-tr: 0.0040, L-val: 2.1790
284: Acc-tr:  99.98, Acc-val:  56.69, L-tr: 0.0041, L-val: 2.1723
285: Acc-tr:  99.98, Acc-val:  56.55, L-tr: 0.0041, L-val: 2.1731
286: Acc-tr:  99.98, Acc-val:  56.48, L-tr: 0.0041, L-val: 2.1687
287: Acc-tr:  99.98, Acc-val:  56.48, L-tr: 0.0041, L-val: 2.1718
288: Acc-tr:  99.98, Acc-val:  56.31, L-tr: 0.0042, L-val: 2.1687
289: Acc-tr:  99.98, Acc-val:  56.36, L-tr: 0.0040, L-val: 2.1807
